场次号,联赛,主队,客队,比分,赔率
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,5:1,55.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,5:0,60.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,3:3,65.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,0:3,85.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,5:2,125.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,1:4,175.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,2:4,175.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,0:4,300.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,2:5,500.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,1:5,600.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,0:5,800.00
周六023,意甲,萨索洛,都灵,00:30,1:1,5.50
周六023,意甲,萨索洛,都灵,00:30,1:0,7.50
周六023,意甲,萨索洛,都灵,00:30,2:1,8.00
周六023,意甲,萨索洛,都灵,00:30,0:1,9.25
周六023,意甲,萨索洛,都灵,00:30,1:2,9.50
周六023,意甲,萨索洛,都灵,00:30,2:0,10.00
周六023,意甲,萨索洛,都灵,00:30,0:0,11.00
周六023,意甲,萨索洛,都灵,00:30,2:2,14.00
周六023,意甲,萨索洛,都灵,00:30,0:2,16.00
周六023,意甲,萨索洛,都灵,00:30,3:1,18.00
周六023,意甲,萨索洛,都灵,00:30,3:0,21.00
周六023,意甲,萨索洛,都灵,00:30,1:3,26.00
周六023,意甲,萨索洛,都灵,00:30,3:2,29.00
周六023,意甲,萨索洛,都灵,00:30,2:3,30.00
周六023,意甲,萨索洛,都灵,00:30,0:3,40.00
周六023,意甲,萨索洛,都灵,00:30,4:0,60.00
周六023,意甲,萨索洛,都灵,00:30,4:1,60.00
周六023,意甲,萨索洛,都灵,00:30,3:3,75.00
周六023,意甲,萨索洛,都灵,00:30,4:2,75.00
周六023,意甲,萨索洛,都灵,00:30,1:4,90.00
周六023,意甲,萨索洛,都灵,00:30,0:4,150.00
周六023,意甲,萨索洛,都灵,00:30,2:4,150.00
周六023,意甲,萨索洛,都灵,00:30,5:1,150.00
周六023,意甲,萨索洛,都灵,00:30,5:0,175.00
周六023,意甲,萨索洛,都灵,00:30,5:2,300.00
周六023,意甲,萨索洛,都灵,00:30,1:5,350.00
周六023,意甲,萨索洛,都灵,00:30,0:5,500.00
周六023,意甲,萨索洛,都灵,00:30,2:5,500.00
周六025,西甲,皇家社会,西班牙人,01:00,1:1,6.75
周六025,西甲,皇家社会,西班牙人,01:00,2:1,7.25
周六025,西甲,皇家社会,西班牙人,01:00,1:0,7.50
周六025,西甲,皇家社会,西班牙人,01:00,2:0,9.00
周六025,西甲,皇家社会,西班牙人,01:00,0:1,11.00
周六025,西甲,皇家社会,西班牙人,01:00,1:2,11.00
周六025,西甲,皇家社会,西班牙人,01:00,0:0,12.00
周六025,西甲,皇家社会,西班牙人,01:00,2:2,12.50
